,year,age_group,sex,value
625,1957,60 - 64 years,Male,59.3
626,1957,60 - 64 years,Female,60.7
627,1957,65 - 69 years,Both sexes,107.9
628,1957,65 - 69 years,Male,54.5
629,1957,65 - 69 years,Female,53.4
630,1957,65 years and over,Both sexes,316.6
631,1957,65 years and over,Male,154.2
632,1957,65 years and over,Female,162.4
633,1957,70 - 74 years,Both sexes,93.1
634,1957,70 - 74 years,Male,45.1
635,1957,70 - 74 years,Female,48.0
636,1957,75 - 79 years,Both sexes,65.4
637,1957,75 - 79 years,Male,31.8
638,1957,75 - 79 years,Female,33.6
639,1957,80 - 84 years,Both sexes,33.5
640,1957,80 - 84 years,Male,15.5
641,1957,80 - 84 years,Female,18.0
642,1957,85 years and over,Both sexes,16.7
643,1957,85 years and over,Male,7.3
644,1957,85 years and over,Female,9.4
645,1957,All ages,Both sexes,2885.3
646,1957,All ages,Male,1456.1
647,1957,All ages,Female,1429.2
648,1958,Under 1 year,Both sexes,57.7
649,1958,Under 1 year,Male,29.4
650,1958,Under 1 year,Female,28.3
651,1958,0 - 4 years,Both sexes,297.8
652,1958,0 - 4 years,Male,151.6
653,1958,0 - 4 years,Female,146.2
654,1958,0 - 14 years,Both sexes,869.5
655,1958,0 - 14 years,Male,443.9
656,1958,0 - 14 years,Female,425.6
657,1958,1 - 4 years,Both sexes,240.1
658,1958,1 - 4 years,Male,122.2
659,1958,1 - 4 years,Female,117.9
660,1958,5 - 9 years,Both sexes,291.4
661,1958,5 - 9 years,Male,149.2
662,1958,5 - 9 years,Female,142.2
663,1958,10 - 14 years,Both sexes,280.3
664,1958,10 - 14 years,Male,143.1
665,1958,10 - 14 years,Female,137.2
666,1958,15 - 19 years,Both sexes,231.8
667,1958,15 - 19 years,Male,120.2
668,1958,15 - 19 years,Female,111.6
669,1958,15 - 24 years,Both sexes,401.5
670,1958,15 - 24 years,Male,206.9
671,1958,15 - 24 years,Female,194.6
672,1958,15 years and over,Both sexes,1983.2
673,1958,15 years and over,Male,995.0
